start_time,subject_id,key_conversion,response,reward,block,stimulus_id,color,shape,texture,size,largest_keys,largest_chosen
2021-06-08 20:56:14.859000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,215,magenta,circle,dots,large,x,True
2021-06-08 20:56:19.477000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,291,orange,square,dots,small,c,True
2021-06-08 20:56:23.092000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,327,orange,square,dots,large,c,True
2021-06-08 20:56:26.258000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,141,magenta,circle,dots,small,x,True
2021-06-08 20:56:28.700000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,291,orange,square,dots,small,c,True
2021-06-08 20:56:30.615000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,141,magenta,circle,dots,small,x,True
2021-06-08 20:56:32.400000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,215,magenta,circle,dots,large,x,True
2021-06-08 20:56:33.959000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,327,orange,square,dots,large,c,True
2021-06-08 20:56:35.759000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,141,magenta,circle,dots,small,x,True
2021-06-08 20:56:37.501000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,215,magenta,circle,dots,large,x,True
2021-06-08 20:56:42.480000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,291,orange,square,dots,small,c,True
2021-06-08 20:56:45.748000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,327,orange,square,dots,large,c,True
2021-06-08 20:56:47.410000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,291,orange,square,dots,small,c,True
2021-06-08 20:56:49.156000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,141,magenta,circle,dots,small,x,True
2021-06-08 20:56:50.832000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,327,orange,square,dots,large,c,True
2021-06-08 20:56:52.577000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_1,215,magenta,circle,dots,large,x,True
2021-06-08 20:56:54.399000+00:00,426,"{'key': ['x', 'c', 'z', 'v'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,327,orange,square,dots,large,c,True
