start_time,subject_id,key_conversion,response,reward,block,stimulus_id,color,shape,texture,size,largest_keys,largest_chosen
2021-06-23 03:32:12.725000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:32:16.816000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:32:19.361000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,327,orange,square,dots,large,v,False
2021-06-23 03:32:20.970000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:32:22.467000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:32:24.181000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,327,orange,square,dots,large,v,False
2021-06-23 03:32:25.735000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,False,Set_1,141,magenta,circle,dots,small,z,False
2021-06-23 03:32:27.591000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:32:29.134000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:32:30.589000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:32:35.602000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:32:39.733000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:32:41.255000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:32:42.872000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:32:44.495000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:32:46.038000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:32:47.658000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:32:49.711000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:32:51.408000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:32:52.967000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:32:58.093000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:00.395000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:01.847000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:03.433000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:04.978000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:06.706000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,False,Set_1,169,orange,circle,dots,large,z,False
2021-06-23 03:33:08.184000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:09.743000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:11.371000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:13.257000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:18.320000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:20.015000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:21.716000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:23.500000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:25.169000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:26.756000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:28.418000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:30.078000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:31.791000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:33.443000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:38.387000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:40.372000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:41.944000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:43.524000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:33:45.157000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,369,magenta,square,dots,large,v,True
2021-06-23 03:33:46.898000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",v,True,Set_1,327,orange,square,dots,large,v,True
2021-06-23 03:33:48.559000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,169,orange,circle,dots,large,z,True
2021-06-23 03:33:50.192000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,141,magenta,circle,dots,small,z,True
2021-06-23 03:34:04.314000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,False,Set_2,285,magenta,square,diagonal,small,c,False
2021-06-23 03:34:07.586000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:09.354000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_2,188,blue,circle,diagonal,large,x,False
2021-06-23 03:34:11.271000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:12.860000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:14.482000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:34:16.091000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:34:17.608000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:19.520000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:21.108000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:34:26.339000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:30.193000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:34:32.157000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:34:33.746000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:34:35.507000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:37.347000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:39.078000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:40.743000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:34:42.459000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:34:45.139000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:50.295000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:34:52.117000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:34:53.738000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:34:55.229000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:56.819000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
2021-06-23 03:34:58.968000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:35:00.515000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:35:02.639000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:35:04.337000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,285,magenta,square,diagonal,small,c,True
2021-06-23 03:35:06.183000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,188,blue,circle,diagonal,large,x,True
2021-06-23 03:35:11.194000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",x,True,Set_2,266,magenta,circle,diagonal,large,x,True
2021-06-23 03:35:12.732000+00:00,557,"{'key': ['z', 'v', 'x', 'c'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_2,347,blue,square,diagonal,large,c,True
