,subject_id,strategy,strategy_radio,difficulty,passed_attention_check,substances,gender,age,education
0,1375,I was choosing randomly because I did not understand which key is which shape.,none,medium,['caffeine'],True,male,21-30,college
1,1417,Simply remembering the pattern inside and border of square or circle.After that it all came down to focusing on which button is for which one.,given-attributes,medium,,True,male,21-30,<college
2,1355,i memorized the sizes of the dots divided by shape on the keyboard,resemble,medium,['caffeine'],True,female,21-30,postgrad
3,1376,Remembering the pairs.,given-attributes,easy,,True,male,10-20,highschool
4,1425,stay closer to the computer and be aware,resemble,medium,,True,female,21-30,college
5,1373,"The first tests I tried to retain the drawings in memory and choose the correct option, but in the last one I didn't understand it very well, so I didn't use any strategy. Sorry.",memorized,medium,['caffeine'],True,female,31-45,postgrad
6,1418,In the first rounds I tried to figure out the schemes and after that I just had to memorize which pattern is which command/button.,given-attributes,medium,,True,male,21-30,highschool
7,1377,"when I had got big circles inside of shape I pressed ""x"" for circle and ""z"" for square. If I had got small circles I pressed c for circle and v for square",given-attributes,medium,,True,male,21-30,<college
8,1357,"I asigned one letter to each shape. When the four letters appeared I kept in mind that squares where asigned to the ""outside"" fingers, while circles where the ""inner"" fingers. They were also from big to small (left to right) for the dots inside the shapes.",given-attributes,medium,,True,female,31-45,highschool
9,1374,Just trying to remember the shapes aswell as the patterns.,given-attributes,medium,,True,male,21-30,highschool
10,1426,"for the last two artifacts I had a lot of difficulty, I simply tried to make a mnemonic association. For the first two, when the artifact was round I thought of ""shaking"" a ball.",resemble,medium,['caffeine'],True,female,21-30,college
11,1315,"separating circles and squeares, also waves from spots",given-attributes,medium,,True,male,21-30,college
12,1420,i tried to remember what finger whas associated with what,given-attributes,medium,['caffeine'],True,female,21-30,<college
13,1358,I had to memorize x and c were circles and they were close to each other z and v a far apart so that makes them blocks,memorized,medium,['caffeine'],True,female,31-45,highschool
14,1316,you just have to remember if there are bigger points or not,resemble,easy,,True,male,31-45,postgrad
15,1317,thinking only about the shape and letting my brain work out the rest,resemble,easy,,True,male,31-45,college
16,1379,No strategy. I just saw that each shape and filling corresponds to different key.,resemble,easy,['alcohol'],True,male,21-30,highschool
17,1428,i just move my fingers left or right and remember objects,memorized,medium,['caffeine'],True,male,21-30,college
18,1421,No strategy I tried to remember the position of the square circles,none,medium,['caffeine'],True,female,46-65,highschool
19,1380,"No strategy, just trying to remember which buttons means what",memorized,medium,['caffeine'],True,male,21-30,college
20,1429,"I tried to memorize what pattern, shape and size corresponds to given letter, but there was so randomization, I guess",given-attributes,medium,,True,male,21-30,college
21,1318,I tried to be as fast as I could,memorized,medium,['caffeine'],True,female,21-30,college
22,1422,I tried to remember given shapes and colors from a given planet and assignments to a given key,memorized,medium,['caffeine'],True,male,31-45,college
23,1361,I grouped the the square and circle pairs with the patterns inside.,resemble,medium,['caffeine'],True,female,21-30,<college
24,1381,"Squares activated by Z or V.
Circles activated by X or C.
Z and X for large ball fillings.
C and V for small ball fillings.",given-attributes,medium,,True,male,31-45,college
25,1319,Simply learning patterns and trying to remember patterns of the shapes to certain button,resemble,easy,,True,male,10-20,<college
26,1423,Matching shapes to activities.,resemble,easy,['caffeine'],True,male,21-30,postgrad
27,1362,"observation, repeatability",given-attributes,hard,['caffeine'],True,female,21-30,postgrad
28,1383,i just memorized,memorized,medium,,True,male,21-30,highschool
29,1432,I was just going with my gut feeling,none,medium,,True,female,31-45,<college
30,1384,"I tried to find wich key is for what artifact I and found out that in each scenario every pair of keys were used in pairs (z for square with big dots and x for circle with big dots, c for square with small dots and v for circle with small dots). I used one hand for this task.",given-attributes,hard,['caffeine'],True,female,21-30,<college
31,1322,"Literally didn't even have chance to read instructions. 

Understood the first part, where it was either circle or square, and chose the key according to the shape. 

But the other part, where I had 4 keys, I had pretty much 0 glue what i had to do. I udnerstood that circle+circle was key ""V"", but other than that, big 0. 

Don't understand, why the ""instuction"" or the ""key section"" part had to be timed. People, who English isn't their first language, might need some more time, to fully understand the sentence. Same appled to me, got stuck on a word, and didn't have time to finish. But I guess, there is bigger reason behind it, why it's timed.",none,hard,['caffeine'],True,male,10-20,postgrad
32,1433,"v was fir circkes wuth xxxx pattern
z was for circles with oooo pattern
x was for squares with xxxx pattern
c was for squares with oooo pattern",memorized,medium,,True,female,21-30,postgrad
33,1364,I did not have a strategy. Everything was just too quick. I had to keep up with the pace giving me less time to strategize,none,hard,['tobacco'],True,male,21-30,<college
34,1365,I had to memorize and you certain hand and fingers for certain buttons.,memorized,hard,['caffeine'],True,male,10-20,highschool
35,1323,"I just looked at the shapes and ignored the colours and patterns at first. But on the last one, I had to remember the patterns between the planets, one had circles and the other one had lines. That was it.",given-attributes,easy,,True,male,21-30,<college
36,1385,"z and c was for the circle (c with small circles in the shape)
x and v was for the square (x with small circles in the shape)",none,medium,['tobacco'],True,male,21-30,highschool
37,1434,I noticed that a given shape corresponds to a given letter,resemble,medium,,True,female,21-30,postgrad
38,1366,I figured that the squares are either x or c and then the circles are either z or v,resemble,medium,['caffeine'],True,female,21-30,college
39,1386,"So I noticed that while there was circle with second pattern i should press Z and the first pattern i should press X, the same with square. I've tried to do it as fast as possible but also try to het as many points.",memorized,medium,['caffeine'],True,male,21-30,<college
40,1435,memorize the rewards for each shape,given-attributes,easy,['caffeine'],True,male,21-30,<college
41,1387,"For both planets, the shape and the size of circles inside the shapes gives us what key we should press. Square with big circles: Z, squares with small cirlces: X, circle with small circles : C, circle with big circles inside: V.",memorized,medium,,True,male,21-30,college
42,1436,I randomly chose at the start then I ended up choosing the same option from z-v until they were correct,resemble,medium,,True,male,31-45,<college
43,1367,"I got to know that I only need to watch the form inside. When the articrafts were mixed at the end, it was a little bit hard to find the right press.",resemble,medium,,True,female,21-30,college
